# MOND N-body snapshot at t = 0.800 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
204 3.102531 19.201569 21.012879 -173.618 -90.977 129.966 6.250e+07 2
205 2.604741 16.310771 21.143401 0.836 189.625 -54.555 6.250e+07 2
206 -875.131102 -761.463472 -49.369215 -1053.373 -916.443 -59.307 6.250e+07 2
207 2.614782 17.957526 21.619150 -80.878 -17.616 -77.440 6.250e+07 2
208 2.375513 18.308956 20.900208 3.967 79.765 -42.677 6.250e+07 2
209 -0.003772 14.434434 18.145261 164.375 -109.762 -41.760 6.250e+07 2
210 1.268651 17.995559 20.753766 -67.798 -206.818 89.356 6.250e+07 2
211 3.878146 19.229751 21.288875 -151.116 129.555 -55.446 6.250e+07 2
212 -4.301737 15.375607 18.056948 133.351 -195.509 101.816 6.250e+07 2
213 0.990911 19.497586 20.217208 -203.772 -100.253 -112.476 6.250e+07 2
214 2.051037 17.660542 22.299824 -58.696 -94.897 2.382 6.250e+07 2
215 1.739205 15.534093 21.208516 265.111 123.886 98.099 6.250e+07 2
216 0.113742 16.228588 16.966488 -40.294 -68.043 -102.068 6.250e+07 2
217 8.474416 15.496081 21.176497 227.084 221.023 -6.471 6.250e+07 2
218 1.185192 18.650244 20.464829 111.405 -151.431 -143.755 6.250e+07 2
219 1.579548 22.562774 20.254666 -263.823 75.702 -79.843 6.250e+07 2
220 3.361763 16.728275 21.902527 -3.165 143.557 -141.469 6.250e+07 2
221 1.806650 16.495841 21.171851 -41.971 -169.609 47.102 6.250e+07 2
222 0.829850 16.258296 21.211502 203.632 6.273 163.418 6.250e+07 2
223 1.420009 19.671523 21.386042 55.096 162.340 -74.113 6.250e+07 2
224 2.128048 17.939817 20.429235 13.822 202.936 -10.990 6.250e+07 2
225 12.707867 248.787965 28.381968 11.660 213.204 29.583 6.250e+07 2
226 0.536803 19.289197 20.594816 -61.482 -163.209 138.772 6.250e+07 2
227 9.160165 15.076641 18.875610 54.220 104.197 7.824 6.250e+07 2
228 3.157319 16.605985 21.430496 -204.537 212.650 -140.106 6.250e+07 2
229 2.353841 13.749621 21.413490 79.440 -43.522 -136.483 6.250e+07 2
230 3.180502 11.961236 21.548019 141.600 -16.648 8.476 6.250e+07 2
231 3.286928 15.153315 21.193918 -5.283 190.504 -74.826 6.250e+07 2
232 4.840609 14.089316 22.110545 258.896 3.335 18.536 6.250e+07 2
233 3.151550 21.851327 20.581835 -144.657 -142.650 41.726 6.250e+07 2
234 2.234735 24.017010 21.827777 -59.751 215.238 86.352 6.250e+07 2
235 2.620781 16.819359 20.593252 61.282 87.953 -240.383 6.250e+07 2
236 -0.033216 16.015743 20.078159 149.262 -45.617 13.971 6.250e+07 2
237 7.911613 13.307516 20.363311 95.251 121.740 -2.815 6.250e+07 2
238 -2.073171 32.047777 24.979415 -70.120 51.892 42.829 6.250e+07 2
239 1.807068 17.819458 19.916319 84.492 -54.122 43.904 6.250e+07 2
240 2.561872 20.767537 19.437937 -92.481 -214.805 114.041 6.250e+07 2
241 0.493876 21.362641 22.488911 -200.481 113.279 114.178 6.250e+07 2
242 2.517506 20.426027 20.240570 -190.519 119.142 -43.282 6.250e+07 2
243 -2.816951 21.692474 19.153772 -24.677 -248.328 90.765 6.250e+07 2
244 4.107126 16.074702 21.645909 158.888 -60.397 69.354 6.250e+07 2
245 1.847400 16.835297 20.436991 121.793 -166.540 -65.990 6.250e+07 2
246 2.125005 16.681776 20.987849 38.677 -134.017 -81.333 6.250e+07 2
247 10.351447 14.452358 20.317027 93.927 112.055 -26.880 6.250e+07 2
248 0.329363 27.863007 20.733003 -177.871 47.160 30.555 6.250e+07 2
249 5.451745 17.929038 19.816691 168.304 310.051 65.566 6.250e+07 2
250 3.102330 18.603853 21.676271 -266.468 -18.007 132.408 6.250e+07 2
251 5.413735 12.848575 17.739682 80.566 118.371 92.110 6.250e+07 2
252 2.800143 18.494186 21.671271 55.191 -83.117 119.648 6.250e+07 2
253 4.178234 13.766695 23.247873 129.611 147.984 117.644 6.250e+07 2
254 3.510534 18.289589 20.707334 101.500 -114.007 133.965 6.250e+07 2
255 2.088831 18.071561 21.355368 -60.177 25.878 -34.604 6.250e+07 2
256 1.586082 16.629766 22.237290 31.738 -63.672 143.263 6.250e+07 2
257 3.045653 16.561751 21.056590 153.772 55.369 175.803 6.250e+07 2
258 0.502146 16.628586 22.554176 -120.771 -177.506 -3.185 6.250e+07 2
259 3.263725 19.729711 19.892760 -80.445 236.600 -39.750 6.250e+07 2
260 8.357618 19.522504 19.323148 -115.102 90.094 88.385 6.250e+07 2
261 2.975432 15.642868 20.987900 122.754 48.637 42.340 6.250e+07 2
262 -3.874104 14.119844 21.104603 -4.074 -32.369 30.863 6.250e+07 2
263 -1430.142419 1272.976803 -53.953487 -1737.969 1547.055 -66.137 6.250e+07 2
264 3.219226 17.050105 21.303961 153.212 171.260 166.830 6.250e+07 2
265 6.837919 21.104454 18.286773 -83.919 8.426 57.026 6.250e+07 2
266 2.369877 16.472007 20.877999 -59.574 -152.072 31.644 6.250e+07 2
267 2.737654 18.632870 20.591617 -104.819 43.312 121.825 6.250e+07 2
268 6.761688 17.402330 20.922194 149.847 240.552 131.286 6.250e+07 2
269 0.676223 19.989711 20.244389 -101.181 -136.195 -13.005 6.250e+07 2
270 1.055051 17.464425 22.454878 -141.360 -247.095 122.206 6.250e+07 2
271 1.004330 17.656072 20.526221 -196.093 -252.892 25.439 6.250e+07 2
272 2.242978 14.402068 19.738845 170.879 53.191 36.441 6.250e+07 2
273 1.853482 23.794947 20.633354 -272.106 -65.448 64.682 6.250e+07 2
274 2.116473 18.349395 20.691756 -210.245 -118.141 -73.528 6.250e+07 2
275 2.696142 17.320527 20.900437 41.875 -56.783 52.181 6.250e+07 2
276 0.341113 20.025318 20.342147 -62.747 -250.740 114.775 6.250e+07 2
277 20.654533 17.300888 24.381170 -13.453 142.502 53.935 6.250e+07 2
278 3.036981 17.851851 19.935036 -97.181 -5.690 -144.810 6.250e+07 2
279 5.130437 23.385801 21.179958 -187.380 186.020 -55.679 6.250e+07 2
280 8.867035 28.078900 20.063677 -147.980 121.860 11.820 6.250e+07 2
281 2.336295 17.328482 21.127581 122.292 -42.853 13.482 6.250e+07 2
282 20.883188 14.732265 24.118822 77.546 105.377 22.116 6.250e+07 2
283 3.624310 16.400235 20.984562 108.462 -13.877 -7.750 6.250e+07 2
284 3.215781 15.911875 21.114280 -133.838 283.803 70.329 6.250e+07 2
285 4.227650 17.122439 20.921347 10.357 99.964 -94.433 6.250e+07 2
286 3.149153 15.541018 20.324928 65.595 237.497 176.683 6.250e+07 2
287 2.622906 14.246950 20.362664 298.170 142.874 -37.533 6.250e+07 2
288 0.448367 17.517122 20.712437 46.299 -217.501 28.743 6.250e+07 2
289 -2.417353 12.316816 20.748522 26.261 -121.063 -54.224 6.250e+07 2
290 0.524379 15.727198 20.917055 179.925 -227.750 -41.847 6.250e+07 2
291 -3.143207 22.788221 23.082919 -95.343 -160.230 -36.389 6.250e+07 2
292 1.081205 12.291061 22.316280 231.260 2.747 50.603 6.250e+07 2
293 -4.213247 24.697218 22.426835 -88.900 -71.747 -22.909 6.250e+07 2
294 3.321693 17.240652 20.538469 27.680 152.628 66.389 6.250e+07 2
295 3.570669 20.311248 22.608823 22.991 -75.643 33.970 6.250e+07 2
296 2.380347 17.794854 20.673928 -219.064 97.184 267.477 6.250e+07 2
297 0.449842 22.581646 19.749703 -77.182 -20.623 121.558 6.250e+07 2
298 0.778536 17.999809 19.749935 -58.976 -36.446 -37.881 6.250e+07 2
299 2.121392 16.781228 21.576300 177.293 -21.251 234.218 6.250e+07 2
300 5.548235 20.159990 19.429105 84.190 69.333 -39.009 6.250e+07 2
301 2.248793 19.038893 21.544420 20.270 -133.961 153.588 6.250e+07 2
302 -4.478195 13.173302 22.849277 135.322 44.378 14.953 6.250e+07 2
303 2.475311 14.574581 21.541944 339.369 -48.569 56.755 6.250e+07 2
304 2.904472 17.296537 21.290394 -87.658 140.954 -69.446 6.250e+07 2
305 3.261273 20.609359 20.282348 -59.365 188.637 -59.733 6.250e+07 2
306 2.389065 12.938307 21.556565 106.164 -36.925 126.656 6.250e+07 2
307 2.868104 18.790367 20.613569 132.867 -176.119 199.920 6.250e+07 2
308 -1.091185 19.607269 20.319661 -133.980 -73.862 43.877 6.250e+07 2
309 1.200656 16.643059 19.481082 89.499 -7.438 13.246 6.250e+07 2
310 -3.936906 24.094493 22.145051 -182.241 -83.131 5.703 6.250e+07 2
311 -1.088123 6.772313 21.003639 208.390 58.213 32.011 6.250e+07 2
312 1.765806 16.832352 22.093018 -18.160 -26.711 80.560 6.250e+07 2
313 -2.525859 15.789127 19.396791 108.602 -94.168 -32.587 6.250e+07 2
314 2.089470 16.597484 21.278753 -76.091 -297.995 -93.158 6.250e+07 2
315 4.789495 17.883024 20.167967 64.604 10.993 -44.842 6.250e+07 2
316 3.839169 17.272956 20.930219 26.808 -17.034 -85.750 6.250e+07 2
317 2.547934 19.335356 21.745414 -110.068 28.629 184.535 6.250e+07 2
318 8.857440 28.101163 20.128906 -114.761 72.205 49.504 6.250e+07 2
319 1.501313 20.187890 20.667105 -240.537 6.829 -77.264 6.250e+07 2
320 2.025352 17.285160 21.931783 -184.109 46.237 236.075 6.250e+07 2
321 -3.936920 21.910493 20.215177 -34.398 -57.447 23.035 6.250e+07 2
322 7.137914 20.139371 20.786858 -100.525 222.584 34.818 6.250e+07 2
323 11.276345 19.811503 20.129458 -167.814 133.293 32.266 6.250e+07 2
